cidade;ibge;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;jovem;rodovia
Severínia;3551900;245154;57;6507;893;15991;1388;1473;1544;11;4406;19
Silveiras;3552007;45342;58;2351;603;5913;515;487;486;15;1488;26
Socorro;3552106;541424;72;24154;8052;37361;2657;2851;2963;18;8472;34
Sorocaba;3552205;26138709;88;389036;74909;608308;48508;52029;55709;12;156246;109
Sud Mennucci;3552304;153259;74;3269;531;7527;605;625;613;13;1843;31
Sumaré;3552403;10764267;69;128036;24662;254235;20965;22614;24482;9;68062;39
Suzanápolis;3552551;100994;67;1353;226;3561;291;304;285;15;880;52
Suzano;3552502;8123405;88;101771;14191;270914;24531;23512;23404;10;71447;55
Tabapuã;3552601;196465;64;6342;1169;11541;811;932;1012;17;2755;5
Tabatinga;3552700;160282;66;7703;1140;15049;1200;1315;1437;12;3953;23
Taboão da Serra;3552809;6470055;76;104173;20353;256239;21277;21852;23828;9;66957;7
Taciba;3552908;91202;64;2253;461;5816;493;480;454;14;1427;55
Taguaí;3553005;148287;57;3410;437;11586;1016;1156;1162;11;3334;15
Taiaçu;3553104;61008;64;2475;442;5937;510;520;501;15;1532;4
Taiúva;3553203;73588;55;2719;378;6096;436;615;614;16;1666;21
Tambaú;3553302;437810;66;11975;2360;22508;1812;1877;1837;15;5526;30
Tanabi;3553401;565951;72;14045;3333;24408;1711;1884;2069;17;5664;33
Tapiraí;3553500;101652;66;2569;454;7879;790;631;558;13;1979;38
Tapiratiba;3553609;209058;58;5161;634;12688;1118;1122;992;14;3233;40
Taquaral;3553658;23028;62;993;126;2729;217;224;222;15;663;12
Taquaritinga;3553708;1016579;81;31937;6548;54112;4212;4371;4485;15;13068;108
Taquarituba;3553807;344978;76;11189;2062;22582;1942;1901;1815;13;5658;35
Taquarivaí;3553856;95722;102;1133;227;5321;541;509;477;9;1527;26
Tarabai;3553906;70224;66;2481;535;6802;599;608;582;12;1789;20
Tarumã;3553955;677954;68;5806;872;13465;1110;1203;1222;10;3536;43
Tatuí;3554003;2937909;78;66457;22183;111134;9381;9527;9742;13;28649;116
Taubaté;3554102;13902532;75;179910;46745;287514;22650;24100;25486;12;72235;98
Tejupá;3554201;49337;63;1036;144;4760;447;387;362;13;1196;10
Teodoro Sampaio;3554300;413007;69;8697;2591;21705;1912;1840;1810;11;5561;35
Terra Roxa;3554409;100017;68;3603;627;8690;699;745;768;14;2211;11
Tietê;3554508;1469234;80;22795;4580;38120;2949;3237;3473;14;9659;77
Timburi;3554607;29371;68;944;109;2616;217;195;172;18;584;18
Torre de Pedra;3554656;18016;71;966;168;2273;195;169;145;18;509;
Torrinha;3554706;142975;63;5869;711;9442;722;809;808;17;2339;31
Trabiju;3554755;30090;75;597;54;1590;151;141;128;14;420;5
Tremembé;3554805;507521;52;15231;3621;42583;3335;4121;4327;11;11782;34
Três Fronteiras;3554904;71988;67;2816;721;5465;423;408;397;20;1228;36
Tuiuti;3554953;105934;66;2497;682;6126;443;478;499;18;1420;15
Tupã;3555000;1303523;85;44309;14149;63259;4391;4690;4944;18;14025;30
Tupi Paulista;3555109;210675;83;7960;1764;14548;913;1162;1371;19;3447;46
Turiúba;3555208;32950;80;914;182;1927;129;144;134;22;406;15
Turmalina;3555307;32828;66;929;120;1924;142;148;117;23;407;26
Ubarana;3555356;268293;65;2240;401;5523;484;475;491;11;1450;23
Ubatuba;3555406;1251888;71;31375;11067;81784;7398;7014;6835;11;21247;98
Ubirajara;3555505;48917;71;1795;345;4498;367;365;381;15;1114;6
