cidade;pib;mat1517;veiculos;motos;populacao;taxa_pop1519;taxa_pop2024;taxa_pop2529;pop60p;rodovia;cluster
João Ramalho;110755;56;1425;247;4219;0,088172553;0,092438967;0,085802;11;13;4
José Bonifácio;841301;72;22369;6825;33733;0,079358492;0,087421812;0,090179;14;82;3
Júlio Mesquita;36142;73;1229;128;4486;0,092732947;0,086045475;0,078243;15;11;4
Jumirim;58962;56;1322;164;2959;0,081108483;0,097330179;0,101724;12;11;4
Jundiaí;30239652;90;275050;45751;382279;0,069700402;0,077739034;0,087792;14;134;3
Junqueirópolis;374090;75;9709;2125;19123;0,069915808;0,087067929;0,089683;17;14;2
Juquiá;234934;70;5614;1323;19057;0,099963268;0,077924122;0,068111;14;68;4
Juquitiba;363062;74;11522;2051;29193;0,095296818;0,08365019;0,078101;11;40;4
Lagoinha;42709;78;2831;1023;4828;0,087199669;0,079743165;0,065452;19;24;2
Laranjal Paulista;657350;59;13617;2458;26032;0,078173018;0,082168101;0,086509;15;20;2
Lavínia;116774;71;2060;482;8666;0,050196169;0,120009231;0,181745;10;24;4
Lavrinhas;90842;62;2270;508;6762;0,093167702;0,087104407;0,086661;10;31;4
Leme;2086708;74;56726;17408;94552;0,082875032;0,089559184;0,094424;12;22;4
Lençóis Paulista;1912196;76;37486;8295;62939;0,081952367;0,084828167;0,089182;12;71;3
Limeira;9538001;82;178732;39125;282367;0,077215114;0,082768171;0,088311;13;110;3
Lindóia;98651;48;3871;865;7043;0,077523782;0,082209286;0,085901;14;18;4
Lins;2693187;77;49207;13414;72626;0,077093603;0,079682207;0,085314;15;63;3
Lorena;1606040;68;37436;9562;83782;0,080852689;0,08328758;0,084075;14;36;4
Lourdes;29640;78;874;203;2148;0,073091248;0,077746741;0,077747;18;27;2
Louveira;7870072;65;21875;5371;40686;0,07820872;0,097330777;0,114659;8;25;4
Lucélia;312818;57;9914;2166;20238;0,073574464;0,081875679;0,086076;15;12;2
Lucianópolis;29623;76;876;107;2249;0,084481992;0,072476656;0,076478;17;18;2
Luís Antônio;1029797;53;5226;624;12223;0,094903052;0,098011945;0,09883;8;43;4
Luiziânia;50318;54;1640;382;5244;0,078756674;0,091533181;0,102021;14;6;4
Lupércio;44118;58;1460;254;4372;0,088975297;0,081198536;0,07914;15;20;4
Lutécia;59369;82;978;130;2682;0,081282625;0,083146905;0,079045;16;19;2
Macatuba;308137;67;8291;1482;16465;0,083935621;0,084239295;0,084907;12;21;4
Macaubal;118214;66;4164;844;7702;0,068034277;0,075045443;0,07907;19;8;2
Macedônia;52042;70;1568;361;3636;0,073157316;0,072882288;0,070132;19;22;2
Magda;64332;72;1768;207;3167;0,070097884;0,072623934;0,071992;20;13;2
Mairinque;1436553;75;21238;4048;44184;0,085868188;0,083152272;0,082949;11;12;4
Mairiporã;1319828;66;41478;7589;86273;0,090109304;0,086376966;0,083143;11;67;4
Manduri;107810;56;4866;778;9160;0,078930131;0,081659389;0,080786;15;15;2
Marabá Paulista;112032;61;1290;266;4841;0,068580872;0,149969015;0,124148;11;29;4
Maracaí;384666;75;7033;1684;13395;0,078611422;0,082642777;0,084882;14;49;3
Marapoama;115769;61;1835;358;2719;0,073188672;0,079440971;0,088636;16;27;2
Mariápolis;43975;55;1282;270;3935;0,077763659;0,086404066;0,088691;16;9;2
Marília;5775864;87;134392;36723;221361;0,076490439;0,082295436;0,085268;15;143;3
Marinópolis;23023;72;949;186;2106;0,081671415;0,077397911;0,067901;15;9;2
Martinópolis;359424;72;10522;2155;24655;0,078766984;0,088866356;0,090164;15;86;3
Matão;2782952;84;54241;13889;77847;0,07713849;0,084666076;0,088931;13;74;3
Mauá;10052150;72;178541;31199;430428;0,084697092;0,090858401;0,096153;9;6;4
Mendonça;156120;69;2353;376;4769;0,076326274;0,084504089;0,091214;17;26;2
Meridiano;161596;82;2483;416;3821;0,072755823;0,074326093;0,077728;17;13;2
Mesópolis;43356;60;767;176;1887;0,084790673;0,076841547;0,066243;17;27;2
Miguelópolis;581067;61;9125;2064;20756;0,081422239;0,083204856;0,085566;12;65;4
Mineiros do Tietê;125631;67;5347;681;12206;0,084794363;0,08274619;0,082828;13;12;4
Mira Estrela;35552;65;1338;203;2856;0,077030812;0,075980392;0,067227;19;3;2
Miracatu;362987;66;6316;1634;20271;0,098909773;0,079473139;0,068522;12;85;4
Mirandópolis;473818;78;14481;3799;27860;0,06396267;0,078463747;0,095011;16;30;2
Mirante do Paranapanema;265179;70;6353;1576;17278;0,084037504;0,079696724;0,072751;16;99;3
Mirassol;1258775;81;34677;9349;55046;0,072466664;0,079951313;0,083857;15;36;2
Mirassolândia;63410;60;1692;395;4415;0,077463194;0,078142695;0,079728;17;2;2
Mococa;1398834;78;35853;9640;66419;0,077703669;0,08151282;0,082627;15;125;3
Mogi das Cruzes;11388040;78;192787;27735;401236;0,084593606;0,084202315;0,086086;11;148;3
Mogi Guaçu;4373959;77;91006;27050;140658;0,078985909;0,084111817;0,08805;13;27;4
Moji Mirim;5079496;77;61198;16648;87785;0,075946916;0,080264282;0,083568;14;27;2
Mombuca;53217;71;1392;239;3286;0,088861838;0,086427267;0,084297;12;2;4
Monções;62442;86;1440;217;2148;0,059590317;0,067970205;0,076816;20;11;2
